"Season","Team","Conference","StatName","StatValue"
"2024","Kansas State","Big 12","passesIntercepted","4"
"2024","Iowa State","Big 12","kickReturnTDs","0"
"2024","Colorado","Big 12","fourthDownConversions","2"
"2024","Utah","Big 12","firstDowns","103"
"2024","Texas Tech","Big 12","tacklesForLoss","28"
"2024","Texas Tech","Big 12","penaltyYards","400"
"2024","Texas Tech","Big 12","rushingAttempts","197"
"2024","Baylor","Big 12","turnovers","9"
"2024","Texas Tech","Big 12","firstDowns","135"
"2024","Oklahoma State","Big 12","kickReturnTDs","0"
"2024","UCF","Big 12","fumblesLost","4"
"2024","Utah","Big 12","games","12"
"2024","Colorado","Big 12","tacklesForLoss","38"
"2024","Colorado","Big 12","passesIntercepted","4"
"2024","Cincinnati","Big 12","fourthDownConversions","5"
"2024","Texas Tech","Big 12","passingTDs","15"
"2024","Iowa State","Big 12","possessionTime","9472"
"2024","BYU","Big 12","rushingYards","698"
"2024","Cincinnati","Big 12","fumblesLost","6"
"2024","Cincinnati","Big 12","puntReturnYards","20"
"2024","Cincinnati","Big 12","thirdDownConversions","30"
"2024","TCU","Big 12","fourthDownConversions","8"
"2024","Oklahoma State","Big 12","thirdDownConversions","31"
"2024","Oklahoma State","Big 12","passesIntercepted","6"
"2024","BYU","Big 12","kickReturns","9"
"2024","Colorado","Big 12","firstDowns","110"
"2024","Oklahoma State","Big 12","puntReturns","8"
"2024","Arizona State","Big 12","tacklesForLoss","26"
"2024","Oklahoma State","Big 12","puntReturnTDs","0"
"2024","UCF","Big 12","turnovers","8"
"2024","Utah","Big 12","sacks","11"
"2024","Utah","Big 12","fourthDownConversions","7"
"2024","Texas Tech","Big 12","kickReturnYards","339"
"2024","Oklahoma State","Big 12","passAttempts","239"
"2024","TCU","Big 12","rushingAttempts","175"
"2024","Arizona State","Big 12","fourthDownConversions","6"
"2024","Cincinnati","Big 12","kickReturnTDs","0"
"2024","West Virginia","Big 12","firstDowns","126"
"2024","UCF","Big 12","fourthDowns","12"
"2024","Cincinnati","Big 12","fumblesRecovered","5"
"2024","Iowa State","Big 12","puntReturnTDs","1"
"2024","UCF","Big 12","interceptions","4"
"2024","Colorado","Big 12","fumblesLost","2"
"2024","Oklahoma State","Big 12","interceptions","8"
"2024","Cincinnati","Big 12","penalties","21"
"2024","Baylor","Big 12","passesIntercepted","5"
"2024","Kansas State","Big 12","firstDowns","100"
"2024","Oklahoma State","Big 12","kickReturns","17"
"2024","TCU","Big 12","interceptions","6"
"2024","Utah","Big 12","fumblesLost","1"
"2024","Utah","Big 12","passCompletions","86"
"2024","Colorado","Big 12","fumblesRecovered","4"
"2024","Kansas State","Big 12","passCompletions","80"
